scientificName,decimalLongitude,decimalLatitude
Mahonia bealei (Fortune) Carrière,117.718724,28.340072
Mahonia eurybracteata Fedde,109.5662,28.3363
Mahonia bealei (Fort.) Carr.,118.559328,28.331842
Mahonia eurybracteata Fedde,109.5456,28.3309
Mahonia microphylla Ying & G. R. Long,107.311389,28.330834
Mahonia fortunei (Lindl.) Fedde,105.232627,28.325423
Mahonia bealei (Fort.) Carr.,105.232627,28.325423
Mahonia polyodonta Fedde,109.664202,28.301847
Mahonia fortunei (Lindl.) Fedde,117.291068,28.301024
Mahonia bealei (Fort.) Carr.,117.291068,28.301024
Mahonia conferta Takeda,102.422441,28.297699
Mahonia fortunei (Lindl.) Fedde,107.223611,28.289083
Mahonia eurybracteata Fedde,107.223611,28.289083
Mahonia bealei (Fort.) Carr.,107.223611,28.289083
Mahonia conferta Takeda,103.574976,28.279894
Mahonia gracilipes Fedde,103.574976,28.279894
Mahonia bealei (Fort.) Carr.,103.574976,28.279894
Mahonia fortunei (Lindl.) Fedde,112.932822,28.203061
Mahonia bealei Carr.,112.932822,28.203061
Mahonia fortunei (Lindl.) Fedde.,106.6,28.2
Mahonia bealei (Fort.) Carr.,106.6,28.2
Mahonia fortunei (Nees) Kuntze,110.152432,28.1987
Mahonia fortunei (Lindl.) Fedde,108.0688889,28.19666667
Mahonia eurybracteata Fedde,108.0688889,28.19666667
Mahonia bealei (Fort.) Carr,108.0688889,28.19666667
Mahonia fortunei (Lindl.) Fedde,105.472448,28.171722
Mahonia bealei (Fort.) Carr.,113.612605,28.166519
Mahonia fortunei (Lindl.) Fedde,108.844444,28.16
Mahonia eurybracteata Fedde,108.844444,28.16
Mahonia bealei (Fort.) Carr.,108.844444,28.16
Mahonia gracilipes (Oliv.) Fedde,105.321612,28.141041
Mahonia gracilipes (Oliv.) Fedde,105.3,28.14
Mahonia bealei (Fort.) Carr.,120.926887,28.137353
Mahonia fortunei Hort. ex Dippel,114.462025,28.135452
Mahonia fortunei (Lindl.) Fedde.,106.78075,28.126981
Mahonia bealei (Fort.) Carr.,106.78075,28.126981
Mahonia bealei (Fortune) Carrière,119.138101,28.091982
Mahonia eurybracteata Fedde,109.063611,28.064722
Mahonia bealei (Fortune) Carrière,109.063611,28.064722
Mahonia fortunei (Lindl.) Fedde,105.810516,28.058785
Mahonia conferta Takeda,98.315364,28.056947
Mahonia bealei (Fort.) Carr.,98.315363,28.056946
Mahonia bealei (Fort.) Carr.,98.315362,28.056945
Mahonia longibracteata Takeda,98.315361,28.056944
Mahonia gracilipes (Oliver) Fidde,103.5545,28.0419
Mahonia fortunei (Lindl.) Fedde.,108.425215,28.032734
Mahonia fortunei (Lindl.) Fedde,120.70188,27.988072
Mahonia bealei (Fortune) Carrière,120.70188,27.988072
Mahonia eurybracteata Fedde,107.687328,27.978307
Mahonia conferta Takeda,107.333716,27.977731
Mahonia fortunei (Lindl.) Fedde,107.333716,27.977731
Mahonia bealei (Fortune) Carrière,107.333716,27.977731
Mahonia bealei (Fort.) Carr.,119.62403,27.971643
Mahonia bealei (Fort.) Carr.,109.583103,27.950019
Mahonia bealei (Fort.) Carr.,117.48967,27.946203
Mahonia fortunei (Lindl.) Fedde,110.609597,27.925965
Mahonia bealei Carr.,110.609597,27.925965
