scientificName,decimalLatitude,decimalLongitude
Mahonia chochoco (Schltdl.) Fedde,30.0585,-96.0389
Berberis chochoco Schltdl.,24.52722,-98.96167
Berberis chochoco Schltdl.,24.566667,-98.933333
Berberis chochoco Schltdl.,24.584722,-98.8175
Berberis chochoco Schltdl.,24.632222,-98.713611
Berberis chochoco Schltdl.,24.608333,-98.975
Berberis chochoco Schltdl.,24.725278,-98.905
Berberis chochoco Schltdl.,24.731667,-98.861667
Berberis chochoco Schltdl.,24.655194,-98.685889
Berberis chochoco Schltdl.,21.21601,-99.224141
Berberis chochoco Schltdl.,24.641522,-98.713805
Berberis chochoco Schltdl.,24.54,-98.715
Berberis chochoco Schltdl.,24.633889,-98.841667
Berberis chochoco Schltdl.,24.61,-98.68
Berberis chochoco Schltdl.,24.69,-98.825
Berberis chochoco Schltdl.,24.617778,-98.701389
Berberis chochoco Schltdl.,21.3745,-99.19934
Berberis chochoco Schltdl.,24.67,-98.836667
Berberis chochoco Schltdl.,21.208611,-99.732222
Berberis chochoco Schltdl.,24.545,-98.765
Berberis chochoco Schltdl.,24.5895,-98.822833
Berberis chochoco Schltdl.,25.640442,-100.202599
Berberis chococo Schltdl.,24.75,-98.516667
Berberis chochoco Schltdl.,24.678889,-98.839722
Berberis chochoco Schltdl.,21.162778,-99.190833
Berberis chochoco Schltdl.,22.339167,-99.588611
Berberis chochoco Schltdl.,22.468611,-99.569444
Berberis chochoco Schltdl.,22.073333,-99.604722
Berberis chochoco Schltdl.,24.733611,-98.885278
Berberis chochoco Schltdl.,24.529444,-98.925556
Berberis chochoco Schltdl.,22.49,-99.723889
Berberis chochoco Schltdl.,24.68492536,-98.83481405
Berberis chochoco Schltdl.,24.53521169,-98.76785883
Berberis chochoco Schltdl.,24.63520783,-98.7009166
Berberis chochoco Schltdl.,24.58548547,-98.81786424
Berberis chochoco Schltdl.,24.63437247,-98.81953348
Berberis chochoco Schltdl.,24.66798205,-98.83425797
Berberis chochoco Schltdl.,24.6188195,-98.70258258
Berberis chochoco Schltdl.,24.71992388,-98.85203861
Berberis chochoco Schltdl.,24.60270526,-98.96925998
Berberis chochoco Schltdl.,24.58493049,-98.81786424
Berberis chochoco Schltdl.,24.68520341,-98.81842465
Berberis chochoco Schltdl.,24.65104025,-98.68397225
